Nano Seconds,Value_of_n
3375ns,1001265 n
3042ns,1001266 n
3084ns,1001267 n
4750ns,1001268 n
3333ns,1001269 n
4459ns,1001270 n
3125ns,1001271 n
5917ns,1001272 n
3250ns,1001273 n
4500ns,1001274 n
2958ns,1001275 n
4208ns,1001276 n
3375ns,1001277 n
4375ns,1001278 n
3042ns,1001279 n
3333ns,1001280 n
3583ns,1001281 n
3125ns,1001282 n
3000ns,1001283 n
6500ns,1001284 n
2875ns,1001285 n
3708ns,1001286 n
4875ns,1001287 n
5375ns,1001288 n
4666ns,1001289 n
3125ns,1001290 n
2917ns,1001291 n
6500ns,1001292 n
5000ns,1001293 n
3417ns,1001294 n
3625ns,1001295 n
2875ns,1001296 n
3834ns,1001297 n
4375ns,1001298 n
3708ns,1001299 n
2500ns,1001300 n
3000ns,1001301 n
4917ns,1001302 n
3084ns,1001303 n
3250ns,1001304 n
3541ns,1001305 n
5417ns,1001306 n
3250ns,1001307 n
3375ns,1001308 n
6208ns,1001309 n
3333ns,1001310 n
3084ns,1001311 n
3291ns,1001312 n
5208ns,1001313 n
4750ns,1001314 n
4000ns,1001315 n
3250ns,1001316 n
3292ns,1001317 n
6125ns,1001318 n
3833ns,1001319 n
3125ns,1001320 n
2792ns,1001321 n
3875ns,1001322 n
3042ns,1001323 n
5500ns,1001324 n
2875ns,1001325 n
7125ns,1001326 n
3083ns,1001327 n
3458ns,1001328 n
4250ns,1001329 n
3208ns,1001330 n
2667ns,1001331 n
6042ns,1001332 n
5500ns,1001333 n
3791ns,1001334 n
4208ns,1001335 n
3042ns,1001336 n
3375ns,1001337 n
4292ns,1001338 n
4875ns,1001339 n
3334ns,1001340 n
3375ns,1001341 n
3083ns,1001342 n
4250ns,1001343 n
2709ns,1001344 n
6000ns,1001345 n
3792ns,1001346 n
2916ns,1001347 n
5125ns,1001348 n
3542ns,1001349 n
3792ns,1001350 n
3417ns,1001351 n
3292ns,1001352 n
2875ns,1001353 n
3042ns,1001354 n
6125ns,1001355 n
6125ns,1001356 n
3333ns,1001357 n
3417ns,1001358 n
6625ns,1001359 n
3042ns,1001360 n
3417ns,1001361 n
4041ns,1001362 n
3000ns,1001363 n
4000ns,1001364 n
3125ns,1001365 n
4833ns,1001366 n
3666ns,1001367 n
3959ns,1001368 n
2875ns,1001369 n
4459ns,1001370 n
3292ns,1001371 n
3166ns,1001372 n
3375ns,1001373 n
3750ns,1001374 n
2958ns,1001375 n
3208ns,1001376 n
2916ns,1001377 n
3250ns,1001378 n
3333ns,1001379 n
3041ns,1001380 n
2917ns,1001381 n
5500ns,1001382 n
5583ns,1001383 n
4208ns,1001384 n
2791ns,1001385 n
2875ns,1001386 n
3000ns,1001387 n
3375ns,1001388 n
2875ns,1001389 n
2959ns,1001390 n
7875ns,1001391 n
3417ns,1001392 n
2792ns,1001393 n
3208ns,1001394 n
4166ns,1001395 n
3166ns,1001396 n
3917ns,1001397 n
3125ns,1001398 n
3000ns,1001399 n
3375ns,1001400 n
2875ns,1001401 n
3084ns,1001402 n
3625ns,1001403 n
3958ns,1001404 n
3917ns,1001405 n
5334ns,1001406 n
5166ns,1001407 n
2750ns,1001408 n
3208ns,1001409 n
5208ns,1001410 n
2958ns,1001411 n
3125ns,1001412 n
4041ns,1001413 n
2209ns,1001414 n
4041ns,1001415 n
3167ns,1001416 n
9875ns,1001417 n
3084ns,1001418 n
3167ns,1001419 n
3209ns,1001420 n
3166ns,1001421 n
10667ns,1001422 n
6833ns,1001423 n
3125ns,1001424 n
3417ns,1001425 n
3000ns,1001426 n
4833ns,1001427 n
4084ns,1001428 n
3875ns,1001429 n
3541ns,1001430 n
3084ns,1001431 n
5166ns,1001432 n
3917ns,1001433 n
4000ns,1001434 n
4625ns,1001435 n
3375ns,1001436 n
4459ns,1001437 n
3084ns,1001438 n
3208ns,1001439 n
3541ns,1001440 n
3416ns,1001441 n
3334ns,1001442 n
3083ns,1001443 n
2875ns,1001444 n
3958ns,1001445 n
3000ns,1001446 n
2958ns,1001447 n
3334ns,1001448 n
4167ns,1001449 n
3000ns,1001450 n
3459ns,1001451 n
3542ns,1001452 n
2833ns,1001453 n
3416ns,1001454 n
3250ns,1001455 n
2959ns,1001456 n
3875ns,1001457 n
3042ns,1001458 n
3041ns,1001459 n
3542ns,1001460 n
7750ns,1001461 n
3417ns,1001462 n
3334ns,1001463 n
3083ns,1001464 n
3167ns,1001465 n
4250ns,1001466 n
2958ns,1001467 n
3417ns,1001468 n
5042ns,1001469 n
4458ns,1001470 n
3250ns,1001471 n
2625ns,1001472 n
6167ns,1001473 n
4500ns,1001474 n
3583ns,1001475 n
3750ns,1001476 n
4084ns,1001477 n
5959ns,1001478 n
2875ns,1001479 n
3208ns,1001480 n
4083ns,1001481 n
3000ns,1001482 n
4834ns,1001483 n
5292ns,1001484 n
3041ns,1001485 n
3083ns,1001486 n
3833ns,1001487 n
3958ns,1001488 n
3625ns,1001489 n
4125ns,1001490 n
3042ns,1001491 n
4250ns,1001492 n
6416ns,1001493 n
3500ns,1001494 n
4958ns,1001495 n
3083ns,1001496 n
4875ns,1001497 n
4584ns,1001498 n
4292ns,1001499 n
3792ns,1001500 n
2917ns,1001501 n
3333ns,1001502 n
5792ns,1001503 n
3000ns,1001504 n
5958ns,1001505 n
3250ns,1001506 n
3292ns,1001507 n
3208ns,1001508 n
3125ns,1001509 n
2958ns,1001510 n
3125ns,1001511 n
2916ns,1001512 n
4875ns,1001513 n
3333ns,1001514 n
3458ns,1001515 n
3833ns,1001516 n
2708ns,1001517 n
3125ns,1001518 n
5917ns,1001519 n
3375ns,1001520 n
2917ns,1001521 n
4583ns,1001522 n
4666ns,1001523 n
4750ns,1001524 n
4041ns,1001525 n
4583ns,1001526 n
2917ns,1001527 n
3167ns,1001528 n
6334ns,1001529 n
3125ns,1001530 n
2792ns,1001531 n
3208ns,1001532 n
3250ns,1001533 n
7541ns,1001534 n
3125ns,1001535 n
2500ns,1001536 n
8416ns,1001537 n
3792ns,1001538 n
3084ns,1001539 n
3084ns,1001540 n
5083ns,1001541 n
4209ns,1001542 n
4292ns,1001543 n
3042ns,1001544 n
6500ns,1001545 n
3250ns,1001546 n
3666ns,1001547 n
4042ns,1001548 n
2875ns,1001549 n
3209ns,1001550 n
2917ns,1001551 n
2625ns,1001552 n
3584ns,1001553 n
2709ns,1001554 n
3209ns,1001555 n
3708ns,1001556 n
7375ns,1001557 n
3084ns,1001558 n
4750ns,1001559 n
2792ns,1001560 n
3750ns,1001561 n
5292ns,1001562 n
2875ns,1001563 n
4500ns,1001564 n
3333ns,1001565 n
3250ns,1001566 n
6041ns,1001567 n
3042ns,1001568 n
2708ns,1001569 n
4584ns,1001570 n
3000ns,1001571 n
3042ns,1001572 n
2916ns,1001573 n
3125ns,1001574 n
3125ns,1001575 n
2667ns,1001576 n
8916ns,1001577 n
4958ns,1001578 n
2833ns,1001579 n
3209ns,1001580 n
4000ns,1001581 n
2958ns,1001582 n
4375ns,1001583 n
3791ns,1001584 n
3125ns,1001585 n
3416ns,1001586 n
2875ns,1001587 n
3125ns,1001588 n
3209ns,1001589 n
2875ns,1001590 n
5000ns,1001591 n
3125ns,1001592 n
2750ns,1001593 n
9375ns,1001594 n
4000ns,1001595 n
6625ns,1001596 n
3792ns,1001597 n
9125ns,1001598 n
4333ns,1001599 n
34542ns,1001600 n
24041ns,1001601 n
4125ns,1001602 n
7708ns,1001603 n
3500ns,1001604 n
3167ns,1001605 n
4917ns,1001606 n
5541ns,1001607 n
2833ns,1001608 n
3167ns,1001609 n
3958ns,1001610 n
3000ns,1001611 n
3042ns,1001612 n
3125ns,1001613 n
2916ns,1001614 n
2875ns,1001615 n
3333ns,1001616 n
6000ns,1001617 n
2792ns,1001618 n
3708ns,1001619 n
4625ns,1001620 n
2708ns,1001621 n
5750ns,1001622 n
3792ns,1001623 n
3542ns,1001624 n
3459ns,1001625 n
4959ns,1001626 n
2917ns,1001627 n
3875ns,1001628 n
2792ns,1001629 n
4875ns,1001630 n
3459ns,1001631 n
7500ns,1001632 n
5209ns,1001633 n
5750ns,1001634 n
6042ns,1001635 n
2792ns,1001636 n
3333ns,1001637 n
3208ns,1001638 n
2875ns,1001639 n
3375ns,1001640 n
4125ns,1001641 n
3875ns,1001642 n
3500ns,1001643 n
5792ns,1001644 n
3208ns,1001645 n
3917ns,1001646 n
4041ns,1001647 n
2750ns,1001648 n
4542ns,1001649 n
3500ns,1001650 n
2917ns,1001651 n
3333ns,1001652 n
9500ns,1001653 n
6791ns,1001654 n
3625ns,1001655 n
2833ns,1001656 n
2959ns,1001657 n
3291ns,1001658 n
2833ns,1001659 n
3167ns,1001660 n
3333ns,1001661 n
3000ns,1001662 n
2750ns,1001663 n
3083ns,1001664 n
3292ns,1001665 n
4708ns,1001666 n
5417ns,1001667 n
4292ns,1001668 n
2833ns,1001669 n
4625ns,1001670 n
4583ns,1001671 n
2958ns,1001672 n
3542ns,1001673 n
3083ns,1001674 n
5833ns,1001675 n
3584ns,1001676 n
7750ns,1001677 n
2958ns,1001678 n
3375ns,1001679 n
2750ns,1001680 n
4334ns,1001681 n
3833ns,1001682 n
2833ns,1001683 n
4125ns,1001684 n
4667ns,1001685 n
3084ns,1001686 n
2875ns,1001687 n
3000ns,1001688 n
3000ns,1001689 n
3292ns,1001690 n
3167ns,1001691 n
3000ns,1001692 n
2834ns,1001693 n
3083ns,1001694 n
4583ns,1001695 n
2625ns,1001696 n
7625ns,1001697 n
6166ns,1001698 n
2750ns,1001699 n
3250ns,1001700 n
2541ns,1001701 n
4417ns,1001702 n
3792ns,1001703 n
3000ns,1001704 n
3291ns,1001705 n
4667ns,1001706 n
3583ns,1001707 n
3208ns,1001708 n
3500ns,1001709 n
4292ns,1001710 n
4625ns,1001711 n
4000ns,1001712 n
2750ns,1001713 n
3292ns,1001714 n
3791ns,1001715 n
5500ns,1001716 n
4458ns,1001717 n
3833ns,1001718 n
2958ns,1001719 n
4792ns,1001720 n
3417ns,1001721 n
3000ns,1001722 n
2875ns,1001723 n
3000ns,1001724 n
3208ns,1001725 n
3250ns,1001726 n
4708ns,1001727 n
2708ns,1001728 n
6208ns,1001729 n
3708ns,1001730 n
5041ns,1001731 n
2750ns,1001732 n
3167ns,1001733 n
3875ns,1001734 n
3417ns,1001735 n
3042ns,1001736 n
3458ns,1001737 n
3250ns,1001738 n
5500ns,1001739 n
3292ns,1001740 n
4875ns,1001741 n
3250ns,1001742 n
2875ns,1001743 n
5083ns,1001744 n
4584ns,1001745 n
2792ns,1001746 n
3083ns,1001747 n
3166ns,1001748 n
3167ns,1001749 n
3291ns,1001750 n
6334ns,1001751 n
2833ns,1001752 n
5416ns,1001753 n
3292ns,1001754 n
3250ns,1001755 n
2875ns,1001756 n
5333ns,1001757 n
4000ns,1001758 n
3166ns,1001759 n
3209ns,1001760 n
4583ns,1001761 n
2875ns,1001762 n
3125ns,1001763 n
2667ns,1001764 n
3333ns,1001765 n
5125ns,1001766 n
7291ns,1001767 n
2708ns,1001768 n
3084ns,1001769 n
3666ns,1001770 n
4833ns,1001771 n
3375ns,1001772 n
4875ns,1001773 n
3042ns,1001774 n
2500ns,1001775 n
3500ns,1001776 n
3167ns,1001777 n
4833ns,1001778 n
6041ns,1001779 n
3125ns,1001780 n
3167ns,1001781 n
2959ns,1001782 n
2875ns,1001783 n
6292ns,1001784 n
3083ns,1001785 n
7667ns,1001786 n
3125ns,1001787 n
2750ns,1001788 n
8500ns,1001789 n
3416ns,1001790 n
2917ns,1001791 n
2958ns,1001792 n
3333ns,1001793 n
3875ns,1001794 n
5250ns,1001795 n
3458ns,1001796 n
2750ns,1001797 n
5083ns,1001798 n
4292ns,1001799 n
3292ns,1001800 n
2708ns,1001801 n
3042ns,1001802 n
4625ns,1001803 n
2875ns,1001804 n
3291ns,1001805 n
3208ns,1001806 n
2875ns,1001807 n
3167ns,1001808 n
2750ns,1001809 n
3667ns,1001810 n
3458ns,1001811 n
3250ns,1001812 n
3041ns,1001813 n
4375ns,1001814 n
3084ns,1001815 n
5250ns,1001816 n
4584ns,1001817 n
2792ns,1001818 n
4375ns,1001819 n
5584ns,1001820 n
2792ns,1001821 n
3000ns,1001822 n
3209ns,1001823 n
2541ns,1001824 n
2917ns,1001825 n
3292ns,1001826 n
3208ns,1001827 n
7292ns,1001828 n
7166ns,1001829 n
3375ns,1001830 n
2916ns,1001831 n
2334ns,1001832 n
3292ns,1001833 n
3166ns,1001834 n
4667ns,1001835 n
3542ns,1001836 n
6250ns,1001837 n
3208ns,1001838 n
2875ns,1001839 n
3083ns,1001840 n
5792ns,1001841 n
3041ns,1001842 n
5000ns,1001843 n
3000ns,1001844 n
3042ns,1001845 n
3000ns,1001846 n
3208ns,1001847 n
2791ns,1001848 n
3417ns,1001849 n
3208ns,1001850 n
5208ns,1001851 n
3708ns,1001852 n
3250ns,1001853 n
4334ns,1001854 n
3041ns,1001855 n
2792ns,1001856 n
4291ns,1001857 n
2959ns,1001858 n
5375ns,1001859 n
2916ns,1001860 n
2917ns,1001861 n
3292ns,1001862 n
5750ns,1001863 n
5250ns,1001864 n
3125ns,1001865 n
2833ns,1001866 n
8209ns,1001867 n
3333ns,1001868 n
3000ns,1001869 n
3834ns,1001870 n
3792ns,1001871 n
2667ns,1001872 n
6750ns,1001873 n
3250ns,1001874 n
3334ns,1001875 n
4792ns,1001876 n
3208ns,1001877 n
4209ns,1001878 n
4709ns,1001879 n
2500ns,1001880 n
4917ns,1001881 n
3208ns,1001882 n
11500ns,1001883 n
2958ns,1001884 n
3792ns,1001885 n
3500ns,1001886 n
3792ns,1001887 n
4708ns,1001888 n
3625ns,1001889 n
3084ns,1001890 n
3250ns,1001891 n
3125ns,1001892 n
4209ns,1001893 n
3000ns,1001894 n
3125ns,1001895 n
3500ns,1001896 n
2916ns,1001897 n
3209ns,1001898 n
4250ns,1001899 n
3542ns,1001900 n
6042ns,1001901 n
3333ns,1001902 n
3292ns,1001903 n
3000ns,1001904 n
3125ns,1001905 n
2834ns,1001906 n
3500ns,1001907 n
3583ns,1001908 n
3458ns,1001909 n
3417ns,1001910 n
3000ns,1001911 n
3625ns,1001912 n
4125ns,1001913 n
2958ns,1001914 n
3250ns,1001915 n
3208ns,1001916 n
3583ns,1001917 n
5084ns,1001918 n
3209ns,1001919 n
3125ns,1001920 n
2667ns,1001921 n
3375ns,1001922 n
3500ns,1001923 n
3500ns,1001924 n
3709ns,1001925 n
4459ns,1001926 n
3750ns,1001927 n
4125ns,1001928 n
3209ns,1001929 n
3291ns,1001930 n
3292ns,1001931 n
3916ns,1001932 n
2792ns,1001933 n
3333ns,1001934 n
3459ns,1001935 n
2959ns,1001936 n
4666ns,1001937 n
3542ns,1001938 n
3625ns,1001939 n
3167ns,1001940 n
2792ns,1001941 n
5042ns,1001942 n
4708ns,1001943 n
2958ns,1001944 n
3458ns,1001945 n
3084ns,1001946 n
2875ns,1001947 n
4291ns,1001948 n
3167ns,1001949 n
2958ns,1001950 n
3458ns,1001951 n
3208ns,1001952 n
2833ns,1001953 n
2834ns,1001954 n
3416ns,1001955 n
2959ns,1001956 n
4042ns,1001957 n
4000ns,1001958 n
3166ns,1001959 n
4375ns,1001960 n
5500ns,1001961 n
5125ns,1001962 n
2833ns,1001963 n
3166ns,1001964 n
3916ns,1001965 n
3041ns,1001966 n
3084ns,1001967 n
2791ns,1001968 n
5209ns,1001969 n
3708ns,1001970 n
6125ns,1001971 n
3417ns,1001972 n
3125ns,1001973 n
5084ns,1001974 n
3041ns,1001975 n
4417ns,1001976 n
2750ns,1001977 n
7625ns,1001978 n
2792ns,1001979 n
3459ns,1001980 n
2958ns,1001981 n
3042ns,1001982 n
3000ns,1001983 n
2625ns,1001984 n
4917ns,1001985 n
4709ns,1001986 n
3167ns,1001987 n
3208ns,1001988 n
2792ns,1001989 n
3167ns,1001990 n
3000ns,1001991 n
6250ns,1001992 n
4667ns,1001993 n
3208ns,1001994 n
2667ns,1001995 n
2916ns,1001996 n
2917ns,1001997 n
3625ns,1001998 n
4000ns,1001999 n
3375ns,1002000 n
1875ns,1002001 n
2833ns,1002002 n
3209ns,1002003 n
2792ns,1002004 n
2875ns,1002005 n
3542ns,1002006 n
8041ns,1002007 n
3459ns,1002008 n
4958ns,1002009 n
5209ns,1002010 n
9250ns,1002011 n
3209ns,1002012 n
3459ns,1002013 n
3375ns,1002014 n
3208ns,1002015 n
3208ns,1002016 n
2667ns,1002017 n
4291ns,1002018 n
6917ns,1002019 n
10042ns,1002020 n
5208ns,1002021 n
4417ns,1002022 n
3750ns,1002023 n
3292ns,1002024 n
7584ns,1002025 n
2875ns,1002026 n
3166ns,1002027 n
4833ns,1002028 n
5250ns,1002029 n
5583ns,1002030 n
3375ns,1002031 n
2791ns,1002032 n
3542ns,1002033 n
3458ns,1002034 n
3084ns,1002035 n
3958ns,1002036 n
5875ns,1002037 n
2875ns,1002038 n
4333ns,1002039 n
3583ns,1002040 n
3041ns,1002041 n
5875ns,1002042 n
5042ns,1002043 n
3292ns,1002044 n
3083ns,1002045 n
5375ns,1002046 n
4667ns,1002047 n
6708ns,1002048 n
2750ns,1002049 n
3125ns,1002050 n
4500ns,1002051 n
4458ns,1002052 n
3500ns,1002053 n
3125ns,1002054 n
4875ns,1002055 n
3958ns,1002056 n
3416ns,1002057 n
2875ns,1002058 n
4750ns,1002059 n
3250ns,1002060 n
2834ns,1002061 n
3000ns,1002062 n
3125ns,1002063 n
3166ns,1002064 n
2917ns,1002065 n
2834ns,1002066 n
3083ns,1002067 n
6709ns,1002068 n
3083ns,1002069 n
3292ns,1002070 n
3541ns,1002071 n
4458ns,1002072 n
2875ns,1002073 n
2792ns,1002074 n
4042ns,1002075 n
5167ns,1002076 n
2792ns,1002077 n
3834ns,1002078 n
4167ns,1002079 n
3042ns,1002080 n
5542ns,1002081 n
3208ns,1002082 n
2833ns,1002083 n
4500ns,1002084 n
3541ns,1002085 n
2917ns,1002086 n
3625ns,1002087 n
2834ns,1002088 n
2958ns,1002089 n
3416ns,1002090 n
2875ns,1002091 n
2708ns,1002092 n
3333ns,1002093 n
4875ns,1002094 n
3209ns,1002095 n
3084ns,1002096 n
7458ns,1002097 n
3625ns,1002098 n
3417ns,1002099 n
3583ns,1002100 n
2791ns,1002101 n
3375ns,1002102 n
8375ns,1002103 n
7041ns,1002104 n
3584ns,1002105 n
3375ns,1002106 n
4125ns,1002107 n
3334ns,1002108 n
2833ns,1002109 n
3375ns,1002110 n
3375ns,1002111 n
2458ns,1002112 n
3250ns,1002113 n
3292ns,1002114 n
4833ns,1002115 n
2708ns,1002116 n
3333ns,1002117 n
3458ns,1002118 n
4500ns,1002119 n
3542ns,1002120 n
2708ns,1002121 n
4166ns,1002122 n
3250ns,1002123 n
3833ns,1002124 n
3708ns,1002125 n
3125ns,1002126 n
5667ns,1002127 n
2583ns,1002128 n
3000ns,1002129 n
3041ns,1002130 n
8750ns,1002131 n
3333ns,1002132 n
3417ns,1002133 n
5334ns,1002134 n
3500ns,1002135 n
3042ns,1002136 n
3541ns,1002137 n
3292ns,1002138 n
4125ns,1002139 n
4250ns,1002140 n
3750ns,1002141 n
4208ns,1002142 n
3000ns,1002143 n
3000ns,1002144 n
3167ns,1002145 n
3792ns,1002146 n
3250ns,1002147 n
2916ns,1002148 n
2834ns,1002149 n
3250ns,1002150 n
2875ns,1002151 n
2750ns,1002152 n
3417ns,1002153 n
2750ns,1002154 n
2875ns,1002155 n
3708ns,1002156 n
5917ns,1002157 n
6125ns,1002158 n
3250ns,1002159 n
3042ns,1002160 n
6917ns,1002161 n
4292ns,1002162 n
5125ns,1002163 n
5792ns,1002164 n
4334ns,1002165 n
3542ns,1002166 n
4667ns,1002167 n
2917ns,1002168 n
4167ns,1002169 n
3458ns,1002170 n
3167ns,1002171 n
3042ns,1002172 n
2833ns,1002173 n
6375ns,1002174 n
3209ns,1002175 n
2708ns,1002176 n
4166ns,1002177 n
2750ns,1002178 n
3542ns,1002179 n
3375ns,1002180 n
4916ns,1002181 n
3834ns,1002182 n
3125ns,1002183 n
2708ns,1002184 n
3042ns,1002185 n
5000ns,1002186 n
7709ns,1002187 n
3041ns,1002188 n
6000ns,1002189 n
3667ns,1002190 n
2958ns,1002191 n
3166ns,1002192 n
3125ns,1002193 n
4541ns,1002194 n
3833ns,1002195 n
3209ns,1002196 n
4459ns,1002197 n
3125ns,1002198 n
3125ns,1002199 n
3083ns,1002200 n
3917ns,1002201 n
3000ns,1002202 n
7250ns,1002203 n
4125ns,1002204 n
4417ns,1002205 n
3000ns,1002206 n
3042ns,1002207 n
2750ns,1002208 n
3500ns,1002209 n
3333ns,1002210 n
3833ns,1002211 n
3000ns,1002212 n
3458ns,1002213 n
6208ns,1002214 n
3292ns,1002215 n
3250ns,1002216 n
3917ns,1002217 n
2917ns,1002218 n
4042ns,1002219 n
3166ns,1002220 n
5083ns,1002221 n
3500ns,1002222 n
4792ns,1002223 n
2875ns,1002224 n
3333ns,1002225 n
6917ns,1002226 n
2875ns,1002227 n
4042ns,1002228 n
5250ns,1002229 n
3584ns,1002230 n
3083ns,1002231 n
3333ns,1002232 n
4375ns,1002233 n
3459ns,1002234 n
3292ns,1002235 n
5041ns,1002236 n
7667ns,1002237 n
5833ns,1002238 n
3125ns,1002239 n
2791ns,1002240 n
2791ns,1002241 n
2625ns,1002242 n
3209ns,1002243 n
4041ns,1002244 n
4125ns,1002245 n
3500ns,1002246 n
2875ns,1002247 n
3166ns,1002248 n
4458ns,1002249 n
3041ns,1002250 n
4833ns,1002251 n
2167ns,1002252 n
4375ns,1002253 n
3458ns,1002254 n
5666ns,1002255 n
3250ns,1002256 n
2791ns,1002257 n
3084ns,1002258 n
2834ns,1002259 n
3500ns,1002260 n
3500ns,1002261 n
2875ns,1002262 n
2791ns,1002263 n
3166ns,1002264 n
3292ns,1002265 n
2958ns,1002266 n
3625ns,1002267 n
5041ns,1002268 n
4542ns,1002269 n
3209ns,1002270 n
3167ns,1002271 n
2542ns,1002272 n
5875ns,1002273 n
3292ns,1002274 n
3916ns,1002275 n
3459ns,1002276 n
5000ns,1002277 n
3042ns,1002278 n
3167ns,1002279 n
3166ns,1002280 n
5250ns,1002281 n
3375ns,1002282 n
4583ns,1002283 n
3500ns,1002284 n
3250ns,1002285 n
3417ns,1002286 n
3542ns,1002287 n
3084ns,1002288 n
2792ns,1002289 n
4375ns,1002290 n
3709ns,1002291 n
3583ns,1002292 n
5334ns,1002293 n
3584ns,1002294 n
3333ns,1002295 n
2875ns,1002296 n
3292ns,1002297 n
3833ns,1002298 n
2875ns,1002299 n
3041ns,1002300 n
4916ns,1002301 n
3250ns,1002302 n
3167ns,1002303 n
2708ns,1002304 n
3125ns,1002305 n
3375ns,1002306 n
5250ns,1002307 n
5041ns,1002308 n
3583ns,1002309 n
4250ns,1002310 n
4958ns,1002311 n
2875ns,1002312 n
2750ns,1002313 n
2792ns,1002314 n
3416ns,1002315 n
2959ns,1002316 n
3375ns,1002317 n
4625ns,1002318 n
4500ns,1002319 n
3125ns,1002320 n
3834ns,1002321 n
4916ns,1002322 n
3084ns,1002323 n
4083ns,1002324 n
2916ns,1002325 n
2875ns,1002326 n
3875ns,1002327 n
4500ns,1002328 n
4500ns,1002329 n
4334ns,1002330 n
2916ns,1002331 n
2958ns,1002332 n
4792ns,1002333 n
5000ns,1002334 n
3167ns,1002335 n
3875ns,1002336 n
2917ns,1002337 n
5542ns,1002338 n
3375ns,1002339 n
3875ns,1002340 n
2750ns,1002341 n
3417ns,1002342 n
3000ns,1002343 n
2917ns,1002344 n
3333ns,1002345 n
2875ns,1002346 n
2875ns,1002347 n
3208ns,1002348 n
2792ns,1002349 n
3292ns,1002350 n
5000ns,1002351 n
4250ns,1002352 n
4625ns,1002353 n
3125ns,1002354 n
7416ns,1002355 n
3333ns,1002356 n
3208ns,1002357 n
3167ns,1002358 n
2958ns,1002359 n
3084ns,1002360 n
2792ns,1002361 n
5583ns,1002362 n
5041ns,1002363 n
2916ns,1002364 n
3208ns,1002365 n
4666ns,1002366 n
4167ns,1002367 n
3750ns,1002368 n
4333ns,1002369 n
3208ns,1002370 n
3083ns,1002371 n
3250ns,1002372 n
4416ns,1002373 n
2917ns,1002374 n
2917ns,1002375 n
6125ns,1002376 n
2833ns,1002377 n
4917ns,1002378 n
4292ns,1002379 n
2958ns,1002380 n
3375ns,1002381 n
3000ns,1002382 n
3666ns,1002383 n
3042ns,1002384 n
3250ns,1002385 n
3417ns,1002386 n
4958ns,1002387 n
2792ns,1002388 n
5500ns,1002389 n
3291ns,1002390 n
4333ns,1002391 n
2917ns,1002392 n
3625ns,1002393 n
2916ns,1002394 n
3250ns,1002395 n
5875ns,1002396 n
3291ns,1002397 n
4750ns,1002398 n
3167ns,1002399 n
3417ns,1002400 n
5709ns,1002401 n
3500ns,1002402 n
3000ns,1002403 n
3833ns,1002404 n
2916ns,1002405 n
2875ns,1002406 n
5458ns,1002407 n
3000ns,1002408 n
4291ns,1002409 n
4750ns,1002410 n
6541ns,1002411 n
5042ns,1002412 n
3625ns,1002413 n
3209ns,1002414 n
2958ns,1002415 n
2875ns,1002416 n
3375ns,1002417 n
2875ns,1002418 n
3417ns,1002419 n
3250ns,1002420 n
2792ns,1002421 n
3250ns,1002422 n
3833ns,1002423 n
2875ns,1002424 n
6125ns,1002425 n
3167ns,1002426 n
2875ns,1002427 n
3042ns,1002428 n
4000ns,1002429 n
3500ns,1002430 n
4000ns,1002431 n
3209ns,1002432 n
2750ns,1002433 n
2833ns,1002434 n
3500ns,1002435 n
4250ns,1002436 n
8334ns,1002437 n
3416ns,1002438 n
3167ns,1002439 n
3167ns,1002440 n
4166ns,1002441 n
4125ns,1002442 n
3916ns,1002443 n
3083ns,1002444 n
5417ns,1002445 n
3125ns,1002446 n
3792ns,1002447 n
2834ns,1002448 n
4791ns,1002449 n
4667ns,1002450 n
2917ns,1002451 n
3459ns,1002452 n
5583ns,1002453 n
6083ns,1002454 n
3375ns,1002455 n
2750ns,1002456 n
2875ns,1002457 n
2875ns,1002458 n
3958ns,1002459 n
2958ns,1002460 n
5958ns,1002461 n
3292ns,1002462 n
4500ns,1002463 n
2834ns,1002464 n
3209ns,1002465 n
3000ns,1002466 n
2959ns,1002467 n
4333ns,1002468 n
4000ns,1002469 n
3417ns,1002470 n
3000ns,1002471 n
3459ns,1002472 n
4250ns,1002473 n
3833ns,1002474 n
2875ns,1002475 n
3000ns,1002476 n
3083ns,1002477 n
2208ns,1002478 n
5584ns,1002479 n
3334ns,1002480 n
2750ns,1002481 n
3625ns,1002482 n
4292ns,1002483 n
3291ns,1002484 n
3667ns,1002485 n
3125ns,1002486 n
2959ns,1002487 n
2833ns,1002488 n
6125ns,1002489 n
3000ns,1002490 n
3625ns,1002491 n
3250ns,1002492 n
2958ns,1002493 n
6000ns,1002494 n
3875ns,1002495 n
2333ns,1002496 n
3000ns,1002497 n
3292ns,1002498 n
5708ns,1002499 n
3042ns,1002500 n
4125ns,1002501 n
4250ns,1002502 n
2917ns,1002503 n
3208ns,1002504 n
3125ns,1002505 n
6083ns,1002506 n
3667ns,1002507 n
3209ns,1002508 n
3709ns,1002509 n
5250ns,1002510 n
3041ns,1002511 n
2875ns,1002512 n
3166ns,1002513 n
2750ns,1002514 n
2917ns,1002515 n
3208ns,1002516 n
2708ns,1002517 n
3625ns,1002518 n
2875ns,1002519 n
4042ns,1002520 n
4625ns,1002521 n
3292ns,1002522 n
2958ns,1002523 n
4500ns,1002524 n
3333ns,1002525 n
4750ns,1002526 n
2917ns,1002527 n
3875ns,1002528 n
3083ns,1002529 n
2917ns,1002530 n
3125ns,1002531 n
4000ns,1002532 n
4875ns,1002533 n
3167ns,1002534 n
3125ns,1002535 n
