Nano Seconds,Value_of_n
7250ns,1000733 n
3375ns,1000734 n
6834ns,1000735 n
3209ns,1000736 n
4834ns,1000737 n
2875ns,1000738 n
3333ns,1000739 n
3625ns,1000740 n
3500ns,1000741 n
3167ns,1000742 n
3125ns,1000743 n
2833ns,1000744 n
6875ns,1000745 n
3666ns,1000746 n
2875ns,1000747 n
5541ns,1000748 n
4041ns,1000749 n
3166ns,1000750 n
9500ns,1000751 n
3166ns,1000752 n
2708ns,1000753 n
8375ns,1000754 n
4125ns,1000755 n
3209ns,1000756 n
4916ns,1000757 n
3833ns,1000758 n
7833ns,1000759 n
4500ns,1000760 n
4750ns,1000761 n
3208ns,1000762 n
3041ns,1000763 n
3375ns,1000764 n
3250ns,1000765 n
6125ns,1000766 n
3250ns,1000767 n
3375ns,1000768 n
3875ns,1000769 n
3750ns,1000770 n
5250ns,1000771 n
4666ns,1000772 n
3542ns,1000773 n
7375ns,1000774 n
3375ns,1000775 n
2625ns,1000776 n
2875ns,1000777 n
2958ns,1000778 n
4542ns,1000779 n
3042ns,1000780 n
6042ns,1000781 n
4417ns,1000782 n
3125ns,1000783 n
2750ns,1000784 n
3834ns,1000785 n
2875ns,1000786 n
3125ns,1000787 n
3416ns,1000788 n
4625ns,1000789 n
2625ns,1000790 n
3000ns,1000791 n
3125ns,1000792 n
2834ns,1000793 n
3375ns,1000794 n
3166ns,1000795 n
3125ns,1000796 n
3375ns,1000797 n
6833ns,1000798 n
3333ns,1000799 n
3708ns,1000800 n
3917ns,1000801 n
3666ns,1000802 n
4792ns,1000803 n
3250ns,1000804 n
6750ns,1000805 n
3584ns,1000806 n
3333ns,1000807 n
2833ns,1000808 n
5375ns,1000809 n
4583ns,1000810 n
3375ns,1000811 n
3250ns,1000812 n
3583ns,1000813 n
4333ns,1000814 n
3625ns,1000815 n
4708ns,1000816 n
5542ns,1000817 n
3291ns,1000818 n
3708ns,1000819 n
6500ns,1000820 n
7958ns,1000821 n
3250ns,1000822 n
5500ns,1000823 n
3791ns,1000824 n
3084ns,1000825 n
2958ns,1000826 n
4792ns,1000827 n
3833ns,1000828 n
2875ns,1000829 n
4208ns,1000830 n
4709ns,1000831 n
2750ns,1000832 n
6792ns,1000833 n
2875ns,1000834 n
3792ns,1000835 n
3625ns,1000836 n
5167ns,1000837 n
5250ns,1000838 n
3250ns,1000839 n
4334ns,1000840 n
5000ns,1000841 n
3250ns,1000842 n
5708ns,1000843 n
3458ns,1000844 n
3042ns,1000845 n
4291ns,1000846 n
3000ns,1000847 n
3208ns,1000848 n
2916ns,1000849 n
2792ns,1000850 n
4334ns,1000851 n
4292ns,1000852 n
3333ns,1000853 n
3625ns,1000854 n
3167ns,1000855 n
2917ns,1000856 n
3125ns,1000857 n
3417ns,1000858 n
2959ns,1000859 n
3833ns,1000860 n
2917ns,1000861 n
2958ns,1000862 n
3625ns,1000863 n
2750ns,1000864 n
4917ns,1000865 n
3500ns,1000866 n
3042ns,1000867 n
2584ns,1000868 n
3375ns,1000869 n
3625ns,1000870 n
5458ns,1000871 n
3041ns,1000872 n
9125ns,1000873 n
4333ns,1000874 n
3375ns,1000875 n
5625ns,1000876 n
3541ns,1000877 n
6709ns,1000878 n
2958ns,1000879 n
3292ns,1000880 n
3625ns,1000881 n
3333ns,1000882 n
3916ns,1000883 n
3167ns,1000884 n
3292ns,1000885 n
3000ns,1000886 n
3458ns,1000887 n
3791ns,1000888 n
3000ns,1000889 n
3542ns,1000890 n
2750ns,1000891 n
4584ns,1000892 n
3208ns,1000893 n
4542ns,1000894 n
3625ns,1000895 n
3084ns,1000896 n
4459ns,1000897 n
5000ns,1000898 n
3292ns,1000899 n
3125ns,1000900 n
3791ns,1000901 n
3500ns,1000902 n
5208ns,1000903 n
2917ns,1000904 n
4750ns,1000905 n
3666ns,1000906 n
3042ns,1000907 n
3291ns,1000908 n
3208ns,1000909 n
4791ns,1000910 n
3958ns,1000911 n
3083ns,1000912 n
6375ns,1000913 n
3708ns,1000914 n
3333ns,1000915 n
3209ns,1000916 n
3709ns,1000917 n
2959ns,1000918 n
2959ns,1000919 n
4083ns,1000920 n
2875ns,1000921 n
4834ns,1000922 n
3625ns,1000923 n
3167ns,1000924 n
3375ns,1000925 n
4125ns,1000926 n
4916ns,1000927 n
2417ns,1000928 n
7666ns,1000929 n
5500ns,1000930 n
3084ns,1000931 n
6166ns,1000932 n
4541ns,1000933 n
3084ns,1000934 n
3292ns,1000935 n
2875ns,1000936 n
3625ns,1000937 n
3416ns,1000938 n
4542ns,1000939 n
3416ns,1000940 n
3167ns,1000941 n
3125ns,1000942 n
4292ns,1000943 n
4166ns,1000944 n
3167ns,1000945 n
3000ns,1000946 n
6208ns,1000947 n
3583ns,1000948 n
5542ns,1000949 n
3458ns,1000950 n
3084ns,1000951 n
3084ns,1000952 n
3250ns,1000953 n
4750ns,1000954 n
3375ns,1000955 n
3834ns,1000956 n
4000ns,1000957 n
4625ns,1000958 n
5208ns,1000959 n
2250ns,1000960 n
3083ns,1000961 n
3458ns,1000962 n
7542ns,1000963 n
2958ns,1000964 n
4041ns,1000965 n
3083ns,1000966 n
2792ns,1000967 n
4709ns,1000968 n
2875ns,1000969 n
4416ns,1000970 n
5917ns,1000971 n
3583ns,1000972 n
2875ns,1000973 n
3958ns,1000974 n
3834ns,1000975 n
4000ns,1000976 n
3667ns,1000977 n
4667ns,1000978 n
7167ns,1000979 n
4833ns,1000980 n
2875ns,1000981 n
5000ns,1000982 n
3750ns,1000983 n
6000ns,1000984 n
4333ns,1000985 n
3042ns,1000986 n
3334ns,1000987 n
5166ns,1000988 n
3500ns,1000989 n
3542ns,1000990 n
8084ns,1000991 n
3000ns,1000992 n
3792ns,1000993 n
4959ns,1000994 n
3208ns,1000995 n
2833ns,1000996 n
4875ns,1000997 n
4083ns,1000998 n
3000ns,1000999 n
3125ns,1001000 n
3167ns,1001001 n
3000ns,1001002 n
3000ns,1001003 n
3000ns,1001004 n
3042ns,1001005 n
4125ns,1001006 n
3417ns,1001007 n
2917ns,1001008 n
6000ns,1001009 n
5292ns,1001010 n
3208ns,1001011 n
2875ns,1001012 n
3875ns,1001013 n
5166ns,1001014 n
3583ns,1001015 n
3333ns,1001016 n
2875ns,1001017 n
2875ns,1001018 n
3125ns,1001019 n
3334ns,1001020 n
3625ns,1001021 n
4417ns,1001022 n
3125ns,1001023 n
3125ns,1001024 n
3750ns,1001025 n
3208ns,1001026 n
3042ns,1001027 n
3375ns,1001028 n
4125ns,1001029 n
3375ns,1001030 n
5708ns,1001031 n
4542ns,1001032 n
3541ns,1001033 n
4042ns,1001034 n
2792ns,1001035 n
3000ns,1001036 n
3375ns,1001037 n
3125ns,1001038 n
3500ns,1001039 n
3625ns,1001040 n
2917ns,1001041 n
3375ns,1001042 n
3084ns,1001043 n
3584ns,1001044 n
3666ns,1001045 n
3292ns,1001046 n
4958ns,1001047 n
3000ns,1001048 n
4708ns,1001049 n
3125ns,1001050 n
4417ns,1001051 n
3334ns,1001052 n
3250ns,1001053 n
3084ns,1001054 n
4042ns,1001055 n
3000ns,1001056 n
7208ns,1001057 n
3416ns,1001058 n
5542ns,1001059 n
3041ns,1001060 n
3333ns,1001061 n
3333ns,1001062 n
3958ns,1001063 n
3834ns,1001064 n
3208ns,1001065 n
3250ns,1001066 n
4792ns,1001067 n
3084ns,1001068 n
2917ns,1001069 n
3958ns,1001070 n
4834ns,1001071 n
2541ns,1001072 n
3291ns,1001073 n
4958ns,1001074 n
3167ns,1001075 n
3167ns,1001076 n
3583ns,1001077 n
5083ns,1001078 n
3792ns,1001079 n
3333ns,1001080 n
2834ns,1001081 n
3375ns,1001082 n
4833ns,1001083 n
3333ns,1001084 n
3541ns,1001085 n
4792ns,1001086 n
3125ns,1001087 n
3083ns,1001088 n
2791ns,1001089 n
3334ns,1001090 n
3209ns,1001091 n
4708ns,1001092 n
2917ns,1001093 n
3291ns,1001094 n
4209ns,1001095 n
3334ns,1001096 n
4500ns,1001097 n
3542ns,1001098 n
3167ns,1001099 n
4708ns,1001100 n
